Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sun,2019-10-06,20:00 (03:00),Querétaro,,Monterrey,,Estadio La Corregidora,,,
,,,,,,,,,,,
14,Fri,2019-10-18,19:00 (02:00),Puebla,,Atlas,,Estadio Cuauhtémoc,,,
14,Fri,2019-10-18,21:00 (04:00),Veracruz,,UANL,,Estadio Luis de la Fuente,,,
14,Fri,2019-10-18,21:00 (04:00),Santos,,Tijuana,,Estadio Nuevo Corona,,,
14,Sat,2019-10-19,17:00 (00:00),Cruz Azul,,Morelia,,Estadio Azteca,,,
14,Sat,2019-10-19,19:00 (02:00),Pachuca,,FC Juárez,,Estadio Hidalgo,,,
14,Sat,2019-10-19,21:00 (04:00),Necaxa,,América,,Estadio Victoria de Aguascalientes,,,
14,Sun,2019-10-20,12:00 (19:00),UNAM,,León,,Estadio Olímpico de Universitario,,,
14,Sun,2019-10-20,17:00 (00:00),Atlético,,Querétaro,,Estadio Alfonso Lastras Ramírez,,,
14,Sun,2019-10-20,18:50 (01:50),Monterrey,,Guadalajara,,Estadio BBVA Bancomer,,,
,,,,,,,,,,,
15,Fri,2019-10-25,17:00 (02:00),Tijuana,,Veracruz,,Estadio Caliente,,,
15,Fri,2019-10-25,19:00 (02:00),Morelia,,Santos,,Estadio Generalísimo José María Morelos ...,,,
15,Fri,2019-10-25,21:00 (04:00),Atlas,,Necaxa,,Estadio Jalisco,,,
15,Sat,2019-10-26,17:00 (00:00),Querétaro,,UNAM,,Estadio La Corregidora,,,
15,Sat,2019-10-26,20:00 (02:00),América,,Puebla,,Estadio Azteca,,,
15,Sat,2019-10-26,20:00 (02:00),León,,Atlético,,Estadio León,,,
15,Sat,2019-10-26,22:00 (04:00),UANL,,Cruz Azul,,Estadio Universitario de Nuevo León,,,
15,Sun,2019-10-27,12:00 (19:00),Toluca,,Pachuca,,Estadio Nemesio Díez,,,
15,Sun,2019-10-27,18:00 (01:00),FC Juárez,,Guadalajara,,Estadio Olímpico Benito Juárez,,,
,,,,,,,,,,,
16,Tue,2019-10-29,19:00 (02:00),Atlético,,América,,Estadio Alfonso Lastras Ramírez,,,
16,Tue,2019-10-29,19:00 (02:00),Veracruz,,Puebla,,Estadio Luis de la Fuente,,,
16,Tue,2019-10-29,19:00 (02:00),Santos,,Querétaro,,Estadio Nuevo Corona,,,
16,Tue,2019-10-29,21:00 (04:00),UNAM,,Atlas,,Estadio Olímpico de Universitario,,,
16,Wed,2019-10-30,19:00 (02:00),Pachuca,,Monterrey,,Estadio Hidalgo,,,
16,Wed,2019-10-30,21:00 (04:00),UANL,,Toluca,,Estadio Universitario de Nuevo León,,,
16,Wed,2019-10-30,21:00 (04:00),Guadalajara,,Tijuana,,Estadio Akron,,,
16,Thu,2019-10-31,19:00 (02:00),Morelia,,FC Juárez,,Estadio Generalísimo José María Morelos ...,,,
16,Thu,2019-10-31,21:00 (04:00),Cruz Azul,,León,,Estadio Azteca,,,
,,,,,,,,,,,
17,Fri,2019-11-01,19:00 (02:00),Puebla,,UNAM,,Estadio Cuauhtémoc,,,
17,Fri,2019-11-01,21:00 (04:00),Atlas,,Atlético,,Estadio Jalisco,,,
17,Sat,2019-11-02,17:00 (00:00),Querétaro,,UANL,,Estadio La Corregidora,,,
17,Sat,2019-11-02,19:00 (02:00),América,,Santos,,Estadio Azteca,,,
17,Sat,2019-11-02,19:00 (02:00),Monterrey,,Veracruz,,Estadio BBVA Bancomer,,,
17,Sat,2019-11-02,21:00 (04:00),Necaxa,,Pachuca,,Estadio Victoria de Aguascalientes,,,
17,Sun,2019-11-03,12:00 (19:00),Toluca,,Guadalajara,,Estadio Nemesio Díez,,,
17,Sun,2019-11-03,17:00 (01:00),FC Juárez,,Tijuana,,Estadio Olímpico Benito Juárez,,,
17,Sun,2019-11-03,20:00 (03:00),León,,Morelia,,Estadio León,,,
,,,,,,,,,,,
18,Fri,2019-11-08,17:00 (02:00),Tijuana,,Monterrey,,Estadio Caliente,,,
18,Fri,2019-11-08,19:00 (02:00),Morelia,,Puebla,,Estadio Generalísimo José María Morelos ...,,,
18,Fri,2019-11-08,21:00 (04:00),Veracruz,,América,,Estadio Luis de la Fuente,,,
18,Sat,2019-11-09,17:00 (00:00),Atlético,,Necaxa,,Estadio Alfonso Lastras Ramírez,,,
18,Sat,2019-11-09,19:00 (02:00),UANL,,Pachuca,,Estadio Universitario de Nuevo León,,,
18,Sat,2019-11-09,21:00 (04:00),León,,Toluca,,Estadio León,,,
18,Sat,2019-11-09,21:00 (04:00),Guadalajara,,Querétaro,,Estadio Akron,,,
18,Sun,2019-11-10,12:00 (19:00),UNAM,,FC Juárez,,Estadio Olímpico de Universitario,,,
18,Sun,2019-11-10,18:50 (01:50),Santos,,Cruz Azul,,Estadio Nuevo Corona,,,
,,,,,,,,,,,
19,Fri,2019-11-22,17:00 (02:00),Tijuana,,León,,Estadio Caliente,,,
19,Fri,2019-11-22,19:00 (02:00),Puebla,,Necaxa,,Estadio Cuauhtémoc,,,
19,Sat,2019-11-23,17:00 (00:00),Querétaro,,Morelia,,Estadio La Corregidora,,,
19,Sat,2019-11-23,19:00 (02:00),Monterrey,,Atlas,,Estadio BBVA Bancomer,,,
19,Sat,2019-11-23,19:00 (02:00),Cruz Azul,,Atlético,,Estadio Azteca,,,
19,Sat,2019-11-23,21:00 (04:00),Guadalajara,,Veracruz,,Estadio Akron,,,
19,Sat,2019-11-23,21:00 (04:00),Pachuca,,UNAM,,Estadio Hidalgo,,,
19,Sun,2019-11-24,12:00 (19:00),Toluca,,Santos,,Estadio Nemesio Díez,,,
19,Sun,2019-11-24,17:00 (01:00),FC Juárez,,UANL,,Estadio Olímpico Benito Juárez,,,
