Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
24,Fri,2020-01-31,,Mechelen,,Gent,,AFAS-stadion Achter de Kazerne,,,
24,Fri,2020-01-31,,Oostende,,Sint-Truiden,,Versluys Arena,,,
24,Fri,2020-01-31,,Club Brugge,,Antwerp,,Jan Breydelstadion,,,
24,Fri,2020-01-31,,Eupen,,Cercle Brugge,,Stadion am Kehrweg,,,
24,Fri,2020-01-31,,Zulte Waregem,,Waasland-Bev,,Regenboogstadion,,,
,,,,,,,,,,,
25,Fri,2020-02-07,,Cercle Brugge,,Mechelen,,Jan Breydelstadion,,,
25,Fri,2020-02-07,,Excel Mouscron,,Oostende,,Stade Le Canonnier,,,
25,Fri,2020-02-07,,Antwerp,,Genk,,Bosuilstadion,,,
25,Fri,2020-02-07,,Waasland-Bev,,Kortrijk,,Freethiel-Stadion,,,
25,Fri,2020-02-07,,Gent,,Anderlecht,,GHELAMCO-arena,,,
25,Fri,2020-02-07,,Charleroi,,Zulte Waregem,,Stade du Pays de Charleroi,,,
25,Fri,2020-02-07,,Standard Liège,,Club Brugge,,Stade Maurice Dufrasne,,,
25,Fri,2020-02-07,,Sint-Truiden,,Eupen,,Stayen,,,
,,,,,,,,,,,
26,Fri,2020-02-14,,Genk,,Standard Liège,,Luminus Arena,,,
26,Fri,2020-02-14,,Oostende,,Kortrijk,,Versluys Arena,,,
26,Fri,2020-02-14,,Mechelen,,Anderlecht,,AFAS-stadion Achter de Kazerne,,,
26,Fri,2020-02-14,,Sint-Truiden,,Cercle Brugge,,Stayen,,,
26,Fri,2020-02-14,,Zulte Waregem,,Excel Mouscron,,Regenboogstadion,,,
26,Fri,2020-02-14,,Club Brugge,,Waasland-Bev,,Jan Breydelstadion,,,
26,Fri,2020-02-14,,Antwerp,,Charleroi,,Bosuilstadion,,,
26,Fri,2020-02-14,,Eupen,,Gent,,Stadion am Kehrweg,,,
,,,,,,,,,,,
27,Fri,2020-02-21,,Anderlecht,,Eupen,,Stade Constant Vanden Stock,,,
27,Fri,2020-02-21,,Gent,,Sint-Truiden,,GHELAMCO-arena,,,
27,Fri,2020-02-21,,Oostende,,Zulte Waregem,,Versluys Arena,,,
27,Fri,2020-02-21,,Standard Liège,,Antwerp,,Stade Maurice Dufrasne,,,
27,Fri,2020-02-21,,Excel Mouscron,,Cercle Brugge,,Stade Le Canonnier,,,
27,Fri,2020-02-21,,Kortrijk,,Genk,,Guldensporenstadion,,,
27,Fri,2020-02-21,,Club Brugge,,Charleroi,,Jan Breydelstadion,,,
27,Fri,2020-02-21,,Mechelen,,Waasland-Bev,,AFAS-stadion Achter de Kazerne,,,
,,,,,,,,,,,
28,Fri,2020-02-28,,Cercle Brugge,,Gent,,Jan Breydelstadion,,,
28,Fri,2020-02-28,,Antwerp,,Oostende,,Bosuilstadion,,,
28,Fri,2020-02-28,,Zulte Waregem,,Kortrijk,,Regenboogstadion,,,
28,Fri,2020-02-28,,Eupen,,Excel Mouscron,,Stadion am Kehrweg,,,
28,Fri,2020-02-28,,Waasland-Bev,,Anderlecht,,Freethiel-Stadion,,,
28,Fri,2020-02-28,,Genk,,Club Brugge,,Luminus Arena,,,
28,Fri,2020-02-28,,Charleroi,,Standard Liège,,Stade du Pays de Charleroi,,,
28,Fri,2020-02-28,,Sint-Truiden,,Mechelen,,Stayen,,,
,,,,,,,,,,,
29,Fri,2020-03-06,,Mechelen,,Eupen,,AFAS-stadion Achter de Kazerne,,,
29,Fri,2020-03-06,,Gent,,Charleroi,,GHELAMCO-arena,,,
29,Fri,2020-03-06,,Standard Liège,,Sint-Truiden,,Stade Maurice Dufrasne,,,
29,Fri,2020-03-06,,Excel Mouscron,,Waasland-Bev,,Stade Le Canonnier,,,
29,Fri,2020-03-06,,Anderlecht,,Zulte Waregem,,Stade Constant Vanden Stock,,,
29,Fri,2020-03-06,,Club Brugge,,Cercle Brugge,,Jan Breydelstadion,,,
29,Fri,2020-03-06,,Oostende,,Genk,,Versluys Arena,,,
29,Fri,2020-03-06,,Kortrijk,,Antwerp,,Guldensporenstadion,,,
,,,,,,,,,,,
30,Fri,2020-03-13,,Cercle Brugge,,Oostende,,Jan Breydelstadion,,,
30,Fri,2020-03-13,,Sint-Truiden,,Anderlecht,,Stayen,,,
30,Fri,2020-03-13,,Waasland-Bev,,Gent,,Freethiel-Stadion,,,
30,Fri,2020-03-13,,Antwerp,,Excel Mouscron,,Bosuilstadion,,,
30,Fri,2020-03-13,,Genk,,Mechelen,,Luminus Arena,,,
30,Fri,2020-03-13,,Eupen,,Club Brugge,,Stadion am Kehrweg,,,
30,Fri,2020-03-13,,Zulte Waregem,,Standard Liège,,Regenboogstadion,,,
30,Fri,2020-03-13,,Charleroi,,Kortrijk,,Stade du Pays de Charleroi,,,
