Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sun,2019-06-16,19:35 (13:35),Tianjin Tianhai,1–1,Henan Jianye,5073,Tianjin Olympic Center Stadium,Huang Yejun,Match Report,
13,Sun,2019-06-16,19:35 (13:35),Shenzhen,0–0,Tianjin TEDA,10758,Shenzhen Universiade Sports Centre,Ai Kun,Match Report,
13,Sun,2019-06-16,19:35 (13:35),Jiangsu Suning,4–1,Beijing Renhe,21649,Nanjing Olympic Sports Center,Zhang Lei,Match Report,
,,,,,,,,,,,
14,Fri,2019-06-21,19:35 (13:35),Jiangsu Suning,0–1,Shanghai Shen,47827,Nanjing Olympic Sports Center,Milorad Mažić,Match Report,
14,Sat,2019-06-22,17:30 (11:30),Beijing Guoan,3–2,Guangzhou R&F,35013,Workers' Stadium,Ma Ning,Match Report,
14,Sat,2019-06-22,19:35 (13:35),Shanghai SIPG,3–0,Beijing Renhe,19125,Shanghai Stadium,Gu Chunhan,Match Report,
14,Sat,2019-06-22,19:35 (13:35),Tianjin TEDA,2–1,Shandong Lunen,28438,Tianjin Olympic Center Stadium,Li Haixin,Match Report,
14,Sat,2019-06-22,19:35 (13:35),Henan Jianye,1–0,Shenzhen,20313,Zhengzhou Hanghai Stadium,Wang Jin,Match Report,
14,Sat,2019-06-22,19:35 (13:35),Guangzhou Evg,2–1,Hebei Fortune,47539,Tianhe Stadium,Zhang Lei,Match Report,
14,Sun,2019-06-23,15:30 (09:30),Dalian Yifang,2–2,Tianjin Tianhai,21099,Dalian Sports Center,Mark Clattenburg,Match Report,
14,Sun,2019-06-23,19:35 (13:35),Wuhan Zall,2–3,Chongqing SWM,25007,Wuhan Sports Center Stadium,Shen Yinhao,Match Report,
,,,,,,,,,,,
15,Sat,2019-06-29,19:35 (13:35),Hebei Fortune,0–2,Wuhan Zall,19223,Langfang City Sports Center,Milorad Mažić,Match Report,
15,Sat,2019-06-29,19:35 (13:35),Guangzhou R&F,2–0,Henan Jianye,9118,Yuexiushan Stadium,Ai Kun,Match Report,
15,Sat,2019-06-29,19:35 (13:35),Beijing Renhe,1–3,Dalian Yifang,7383,Beijing Fengtai Stadium,Shi Zhenlu,Match Report,
15,Sat,2019-06-29,19:35 (13:35),Chongqing SWM,1–0,Tianjin TEDA,31258,Chongqing Olympic Sports Center,Ma Li,Match Report,
15,Sun,2019-06-30,19:35 (13:35),Shenzhen,0–1,Shanghai SIPG,15712,Shenzhen Universiade Sports Centre,Zhang Lei,Match Report,
15,Sun,2019-06-30,19:35 (13:35),Tianjin Tianhai,2–2,Jiangsu Suning,23578,Tianjin Olympic Center Stadium,Shen Yinhao,Match Report,
15,Sun,2019-06-30,19:35 (13:35),Shandong Lunen,2–0,Beijing Guoan,38219,Jinan Olympic Sports Center Stadium,Mark Clattenburg,Match Report,
15,Mon,2019-07-01,19:35 (13:35),Shanghai Shen,0–3,Guangzhou Evg,21688,Hongkou Stadium,Ma Ning,Match Report,
,,,,,,,,,,,
16,Fri,2019-07-05,19:35 (13:35),Tianjin Tianhai,1–3,Guangzhou Evg,16759,Tianjin Olympic Center Stadium,,Match Report,
16,Sat,2019-07-06,19:35 (13:35),Guangzhou R&F,4–2,Chongqing SWM,10318,Yuexiushan Stadium,,Match Report,
16,Sat,2019-07-06,19:35 (13:35),Shanghai SIPG,3–1,Shanghai Shen,25639,Shanghai Stadium,,Match Report,
16,Sat,2019-07-06,19:35 (13:35),Beijing Guoan,3–0,Wuhan Zall,40025,Workers' Stadium,,Match Report,
16,Sun,2019-07-07,17:30 (11:30),Tianjin TEDA,2–1,Jiangsu Suning,16239,Tianjin Olympic Center Stadium,,Match Report,
16,Sun,2019-07-07,19:35 (13:35),Dalian Yifang,3–1,Henan Jianye,32019,Dalian Sports Center,,Match Report,
16,Sun,2019-07-07,19:35 (13:35),Hebei Fortune,1–1,Shenzhen,13223,Langfang City Sports Center,,Match Report,
16,Sun,2019-07-07,19:35 (13:35),Beijing Renhe,0–2,Shandong Lunen,8965,Beijing Fengtai Stadium,,Match Report,
,,,,,,,,,,,
17,Wed,2019-07-10,20:00 (14:00),Beijing Guoan,4–1,Chongqing SWM,36479,Workers' Stadium,,Match Report,
17,Thu,2019-07-11,20:00 (14:00),Tianjin TEDA,0–3,Guangzhou Evg,16918,Tianjin Olympic Center Stadium,,Match Report,
17,Fri,2019-07-12,19:35 (13:35),Henan Jianye,3–2,Shandong Lunen,21765,Zhengzhou Hanghai Stadium,,Match Report,
17,Fri,2019-07-12,19:35 (13:35),Hebei Fortune,2–1,Shanghai Shen,15786,Langfang City Sports Center,,Match Report,
17,Fri,2019-07-12,19:35 (13:35),Dalian Yifang,3–2,Guangzhou R&F,41949,Dalian Sports Center,,Match Report,
17,Sat,2019-07-13,19:35 (13:35),Tianjin Tianhai,2–2,Shenzhen,16657,Tianjin Olympic Center Stadium,,Match Report,
17,Sat,2019-07-13,19:35 (13:35),Jiangsu Suning,0–3,Shanghai SIPG,18336,Nanjing Olympic Sports Center,,Match Report,
17,Sat,2019-07-13,19:35 (13:35),Beijing Renhe,0–2,Wuhan Zall,9043,Beijing Fengtai Stadium,,Match Report,
,,,,,,,,,,,
18,Tue,2019-07-16,18:00 (12:00),Guangzhou R&F,2–1,Tianjin TEDA,8938,Yuexiushan Stadium,Ma Ning,Match Report,
18,Tue,2019-07-16,19:35 (13:35),Shanghai Shen,3–2,Henan Jianye,22598,Hongkou Stadium,Shi Zhenlu,Match Report,
18,Tue,2019-07-16,20:00 (14:00),Guangzhou Evg,4–1,Dalian Yifang,48419,Tianhe Stadium,Nawaf Shukralla,Match Report,
18,Wed,2019-07-17,19:35 (13:35),Shanghai SIPG,3–0,Hebei Fortune,21912,Shanghai Stadium,Gu Chunhan,Match Report,
18,Wed,2019-07-17,19:35 (13:35),Shenzhen,0–2,Chongqing SWM,12746,Shenzhen Universiade Sports Centre,Ma Li,Match Report,
18,Wed,2019-07-17,19:35 (13:35),Wuhan Zall,1–1,Jiangsu Suning,20211,Wuhan Sports Center Stadium,Li Haixin,Match Report,
18,Wed,2019-07-17,19:35 (13:35),Shandong Lunen,2–1,Tianjin Tianhai,17426,Jinan Olympic Sports Center Stadium,Milorad Mažić,Match Report,
18,Wed,2019-07-17,19:35 (13:35),Beijing Guoan,2–1,Beijing Renhe,38461,Workers' Stadium,Mark Clattenburg,Match Report,
,,,,,,,,,,,
19,Sat,2019-07-20,19:35 (13:35),Guangzhou R&F,0–5,Guangzhou Evg,13516,Yuexiushan Stadium,Milorad Mažić,Match Report,
19,Sat,2019-07-20,19:35 (13:35),Tianjin TEDA,3–3,Dalian Yifang,20046,Tianjin Olympic Center Stadium,Shen Yinhao,Match Report,
19,Sun,2019-07-21,18:00 (12:00),Beijing Renhe,1–4,Shanghai Shen,9127,Beijing Fengtai Stadium,Wang Jin,Match Report,
19,Sun,2019-07-21,19:35 (13:35),Hebei Fortune,2–2,Tianjin Tianhai,16529,Langfang City Sports Center,Mark Clattenburg,Match Report,
19,Sun,2019-07-21,19:35 (13:35),Shandong Lunen,3–0,Shenzhen,18235,Jinan Olympic Sports Center Stadium,Huang Yejun,Match Report,
