Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sat,2019-10-26,,Piast Gliwice,,Korona Kielce,,Stadion Miejski,,,
13,Sat,2019-10-26,,Wisła Płock,,Jagiellonia,,Stadion Miejski im. Henryka Reymana,,,
13,Sat,2019-10-26,,Łódzki KS,,RKS Raków,,Stadion ŁKS-u,,,
,,,,,,,,,,,
14,Sat,2019-11-02,,Jagiellonia,,Łódzki KS,,Stadion Miejski,,,
14,Sat,2019-11-02,,Pogoń Szczecin,,Lech Poznań,,Stadion Miejski im. Floriana Krygiera,,,
14,Sat,2019-11-02,,Korona Kielce,,Zagłębie Lubin,,Kolporter Arena,,,
14,Sat,2019-11-02,,RKS Raków,,Wisła Kraków,,Stadion Raków,,,
14,Sat,2019-11-02,,Arka Gdynia,,Legia Warsaw,,Stadion GOSiR,,,
14,Sat,2019-11-02,,Cracovia,,Lechia Gdańsk,,Stadion Cracovii,,,
14,Sat,2019-11-02,,Śląsk Wrocław,,Wisła Płock,,Stadion Miejski,,,
14,Sat,2019-11-02,,Górnik Zabrze,,Piast Gliwice,,Arena Zabrze,,,
,,,,,,,,,,,
15,Sat,2019-11-09,,Wisła Płock,,Cracovia,,Stadion Miejski im. Henryka Reymana,,,
15,Sat,2019-11-09,,Lechia Gdańsk,,Pogoń Szczecin,,Stadion Energa Gdańsk,,,
15,Sat,2019-11-09,,Łódzki KS,,Śląsk Wrocław,,Stadion ŁKS-u,,,
15,Sat,2019-11-09,,Lech Poznań,,Korona Kielce,,INEA stadion,,,
15,Sat,2019-11-09,,Wisła Kraków,,Arka Gdynia,,Stadion Miejski im. Henryka Reymana,,,
15,Sat,2019-11-09,,Piast Gliwice,,Jagiellonia,,Stadion Miejski,,,
15,Sat,2019-11-09,,Legia Warsaw,,Górnik Zabrze,,Stadion Miejski Legii Warszawa im. Marsz...,,,
15,Sat,2019-11-09,,Zagłębie Lubin,,RKS Raków,,Stadion Zagłębia Lubin,,,
,,,,,,,,,,,
16,Sat,2019-11-23,,Lechia Gdańsk,,Łódzki KS,,Stadion Energa Gdańsk,,,
16,Sat,2019-11-23,,Lech Poznań,,Piast Gliwice,,INEA stadion,,,
16,Sat,2019-11-23,,Jagiellonia,,Arka Gdynia,,Stadion Miejski,,,
16,Sat,2019-11-23,,Korona Kielce,,RKS Raków,,Kolporter Arena,,,
16,Sat,2019-11-23,,Pogoń Szczecin,,Legia Warsaw,,Stadion Miejski im. Floriana Krygiera,,,
16,Sat,2019-11-23,,Górnik Zabrze,,Wisła Płock,,Arena Zabrze,,,
16,Sat,2019-11-23,,Cracovia,,Zagłębie Lubin,,Stadion Cracovii,,,
16,Sat,2019-11-23,,Śląsk Wrocław,,Wisła Kraków,,Stadion Miejski,,,
,,,,,,,,,,,
17,Sat,2019-11-30,,Wisła Płock,,Lech Poznań,,Stadion Miejski im. Henryka Reymana,,,
17,Sat,2019-11-30,,Piast Gliwice,,Śląsk Wrocław,,Stadion Miejski,,,
17,Sat,2019-11-30,,Zagłębie Lubin,,Górnik Zabrze,,Stadion Zagłębia Lubin,,,
17,Sat,2019-11-30,,Łódzki KS,,Cracovia,,Stadion ŁKS-u,,,
17,Sat,2019-11-30,,Wisła Kraków,,Lechia Gdańsk,,Stadion Miejski im. Henryka Reymana,,,
17,Sat,2019-11-30,,Arka Gdynia,,Pogoń Szczecin,,Stadion GOSiR,,,
17,Sat,2019-11-30,,Legia Warsaw,,Korona Kielce,,Stadion Miejski Legii Warszawa im. Marsz...,,,
17,Sat,2019-11-30,,RKS Raków,,Jagiellonia,,Stadion Raków,,,
,,,,,,,,,,,
18,Sat,2019-12-07,,Korona Kielce,,Arka Gdynia,,Kolporter Arena,,,
18,Sat,2019-12-07,,Jagiellonia,,Zagłębie Lubin,,Stadion Miejski,,,
18,Sat,2019-12-07,,Lechia Gdańsk,,Wisła Płock,,Stadion Energa Gdańsk,,,
18,Sat,2019-12-07,,Śląsk Wrocław,,Legia Warsaw,,Stadion Miejski,,,
18,Sat,2019-12-07,,Górnik Zabrze,,Wisła Kraków,,Arena Zabrze,,,
18,Sat,2019-12-07,,Cracovia,,RKS Raków,,Stadion Cracovii,,,
18,Sat,2019-12-07,,Pogoń Szczecin,,Piast Gliwice,,Stadion Miejski im. Floriana Krygiera,,,
18,Sat,2019-12-07,,Lech Poznań,,Łódzki KS,,INEA stadion,,,
,,,,,,,,,,,
19,Sat,2019-12-14,,Śląsk Wrocław,,Lech Poznań,,Stadion Miejski,,,
19,Sat,2019-12-14,,Korona Kielce,,Cracovia,,Kolporter Arena,,,
