Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,6,Thu,2019-12-12,18:55,Basel ch,,tr Trabzonspor,,,,,
Group Stage,6,Thu,2019-12-12,18:55,Eint Frankfurt de,,pt Vitória,,,,,
Group Stage,6,Thu,2019-12-12,18:55,Standard Liège be,,eng Arsenal,,,,,
Group Stage,6,Thu,2019-12-12,18:55,Getafe es,,ru Krasnodar,,,,,
Group Stage,6,Thu,2019-12-12,19:55 (18:55),CFR Cluj ro,,sco Celtic,,,,,
Group Stage,6,Thu,2019-12-12,19:55 (18:55),APOEL cy,,es Sevilla,,,,,
Group Stage,6,Thu,2019-12-12,19:55 (18:55),Dynamo Kyiv ua,,ch Lugano,,,,,
Group Stage,6,Thu,2019-12-12,20:00 (21:00),Rangers sco,,ch Young Boys,,,,,
Group Stage,6,Thu,2019-12-12,20:00 (21:00),Porto pt,,nl Feyenoord,,,,,
Group Stage,6,Thu,2019-12-12,20:00 (21:00),Wolves eng,,tr Beşiktaş,,,,,
Group Stage,6,Thu,2019-12-12,20:00 (21:00),Manchester Utd eng,,nl AZ Alkmaar,,,,,
Group Stage,6,Thu,2019-12-12,21:00,Partizan rs,,kz Astana FK,,,,,
Group Stage,6,Thu,2019-12-12,21:00,Gent be,,ua FC Oleksandriya,,,,,
Group Stage,6,Thu,2019-12-12,21:00,Wolfsburg de,,fr Saint-Étienne,,,,,
Group Stage,6,Thu,2019-12-12,21:00,M'gladbach de,,tr Başakşehir,,,,,
Group Stage,6,Thu,2019-12-12,21:00,Sl. Bratislava sk,,pt Braga,,,,,
Group Stage,6,Thu,2019-12-12,21:00,Espanyol es,,ru CSKA Moscow,,,,,
Group Stage,6,Thu,2019-12-12,21:00,Roma it,,at Wolfsberger AC,,,,,
Group Stage,6,Thu,2019-12-12,21:55 (18:55),Qarabağ Ağdam az,,lu F91 Dudelange,,,,,
Group Stage,6,Thu,2019-12-12,22:00 (21:00),Ludogorets bg,,hu Ferencváros,,,,,
