Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
026,03.09. 20:45,ENG LTR,Leyton Orient,2:0,Southend United,1,Fussball - England Football League Trophy
027,03.09. 20:45,ENG LTR,Coventry City,0:0,FC Walsall,X,Fussball - England Football League Trophy
028,03.09. 20:45,ENG LTR,Exeter City,1:0,Cheltenham Town,1,Fussball - England Football League Trophy
029,03.09. 20:45,ENG LTR,Plymouth Argyle,1:1,Bristol Rovers,X,Fussball - England Football League Trophy
030,03.09. 20:45,ENG LTR,FC Stevenage,0:3,MK Dons,2,Fussball - England Football League Trophy
031,04.09. 00:15,BRA 2,Vila Nova GO,0:2,Vitoria BA,2,Fussball - Brasilien Brasilero Serie B
032,04.09. 00:15,BRA 2,Brasil de Pelotas,1:0,Londrina EC PR,1,Fussball - Brasilien Brasilero Serie B
033,04.09. 02:30,BRA 2,Criciuma SC,0:0,AA Ponte Preta SP,X,Fussball - Brasilien Brasilero Serie B
034,04.09. 12:00,JPN LC,Hokkaido Consadole,3:2,Sanfr. Hiroshima,1,Fussball - Japan Nabisco Cup
035,04.09. 12:00,JPN LC,Gamba Osaka,1:0,FC Tokyo,1,Fussball - Japan Nabisco Cup
036,04.09. 12:00,JPN LC,Kawasaki Frontale,2:0,Nagoya Grampus,1,Fussball - Japan Nabisco Cup
037,04.09. 12:30,JPN LC,Urawa RD,2:3,Kashima Antlers,2,Fussball - Japan Nabisco Cup
038,04.09. 13:30,KHL,HC Red Star Kunlun,0:2,Salavat Yulaev Ufa,2,Eishockey - Kontinental Hockey League
039,04.09. 16:00,KHL,Avtomobilist,3:2,HC Vityaz Podolsk,1,Eishockey - Kontinental Hockey League
040,04.09. 16:00,KHL,Met. Magnitogorsk,4:2,Sev. Cherepovets,1,Eishockey - Kontinental Hockey League
041,04.09. 16:00,KHL,Traktor Chelyab.,3:3,SKA St. Petersburg,X,Eishockey - Kontinental Hockey League
042,04.09. 17:30,RL VBG,RW Rankweil,2:4,Altach Amateure,2,Fussball - Eliteliga Vorarlberg
043,04.09. 18:00,KHL,Lok. Jaroslawl,2:5,Spartak Moskau,2,Eishockey - Kontinental Hockey League
044,04.09. 18:30,KHL,HK Dinamo Riga,3:0,Torp. Nowgorod,1,Eishockey - Kontinental Hockey League
045,04.09. 18:30,KHL,Dynamo Moskau,3:2,HK Dinamo Minsk,1,Eishockey - Kontinental Hockey League
046,04.09. 18:30,KHL,HC Sochi,3:2,Neftekhimik,1,Eishockey - Kontinental Hockey League
047,04.09. 18:30,RL VBG,SW Bregenz,0:2,Dornbirner SV,2,Fussball - Eliteliga Vorarlberg
048,04.09. 19:00,RL VBG,FC Lauterach,2:4,VfB Hohenems,2,Fussball - Eliteliga Vorarlberg
049,05.09. 00:00,BRA CUP,Atletico PR,2:0,Gremio RS,1,Fussball - Brasilien Cup
050,05.09. 02:30,BRA CUP,Internacional RS,3:0,Cruzeiro EC MG,1,Fussball - Brasilien Cup
051,05.09. 10:30,WM Q,Nordkorea,2:0,Libanon,1,"Fussball - WM Qualifikation, Asien"
052,05.09. 12:20,INT FS,Japan,2:0,Paraguay,1,Fussball - Internationale Freundschaftsspiele
